Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|100|-500|-600|-1000
Max Verstappen|115|-500|-600|-1000
Valtteri Bottas|1400|-165|-360|-550
Sergio Perez|1600|265|-360|-450
Lando Norris|3500|235|-360|-450
Charles Leclerc|4000|550|-225|-400
Pierre Gasly|6500|1000|110|-330
Carlos Sainz Jr.|8000|1100|-125|-330
Daniel Ricciardo|10000|1400|175|-225
Esteban Ocon|20000|1600|500|-190
Fernando Alonso|20000|1400|185|-250
Sebastian Vettel|30000|1800|550|-140
George Russell|30000|2000|650|185
Lance Stroll|30000|2800|1100|-125
Yuki Tsunoda|50000|13000|6500|145
Antonio Giovinazzi|50000|13000|6500|400
Robert Kubica|50000|20000|13000|700
Nicholas Latifi|80000|20000|15000|1400
Mick Schumacher|80000|25000|15000|1400
Nikita Mazepin|80000|25000|15000|1800
